use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1224705,43794,5050,40.9,3.4699969,8.4841,112,OZ,,,,,,04/01/2017,,14,,,,,,,"","14171400056","",,,30,0,1401,49,7,C,,
4102718,41494,,,,183.4433,22,GA,,,,,15,08/01/2017,,14,,,,,,,"","","139501",,,100,0,1403,421,1,C,,
4102704,46469,486,.8,.0008944,.1118,2,OZ,,,,,1,07/01/2017,,14,,,,,,,"","","PR848",,,10,0,1403,407,10,C,,
768156,44662,396,1,.000129,.0129,.2,OZ,,,,,1,04/01/2017,,14,,,,,,,"","","PR7268",,,10,0,1402,579,10,C,,
4102552,34374,90486,12,.002088,.0174,.27,OZ,,,,,,08/01/2017,,14,,,,,,,"","","PR4604",,,10,0,1403,239,2,C,,
4102767,46150,1626,21.7,19.4641622,89.6966,9.75,GA,,,,,,05/01/2017,,14,,,,,,,"","14171400056","",,,30,0,1403,4,3,C,,
4102825,37675,2049,.005,.0022625,45.25,724,OZ,,,,,,07/01/2017,,14,,,,,,,"","","39185",,,10,0,1403,67,7,C,,X
4102842,37675,2049,.005,.003309375,66.1875,1059,OZ,,,,,,09/01/2017,,14,,,,,,,"","","PR6688",,,10,0,1403,106,6,C,,X
4102621,45890,2216,100,44.2819,44.2819,747,OZ,,,,,,06/01/2017,,14,,,,,,,"","141714311VC","",,,50,0,1403,531,3,C,,X
768235,34448,3010,4.75,.03255175,.6853,10,OZ,,,,,6,03/01/2017,,14,,,,,,,"","","PR6601",,,10,0,1402,311,1,C,,
4102531,34448,3010,4.75,.009766,.2056,3,OZ,,,,,,09/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,255,6,C,,
4102558,34448,3010,4.75,1.074165,22.614,330,OZ,,,,,,09/01/2017,,14,,,,,,,"","","39431",,,10,0,1403,245,6,C,,X
768277,2144,1871,25,22.491,89.964,90,PT,60,A,60,A,1,03/04/2017,1000,14,M,09,S,34,E,21,"BP4","14171400013","",,G,23001,0,1401,29,18,B,14M09S34E21,
4102736,40065,90486,.1,.0000102,.0102,.2,OZ,,,,,1,09/01/2017,,14,,,,,,,"","","PR7268",,,10,0,1403,439,2,C,,
1224745,43732,2223,6,.003798,.0633,1,OZ,,,,,,04/01/2017,,14,,,,,,,"","","PR5498",,,10,0,1401,13,1,C,,
768104,43732,2223,6,.273324,4.5554,72,OZ,,,,,,02/01/2017,,14,,,,,,,"","","39431",,,10,0,1402,330,4,C,,
4102545,43732,2223,6,.00759,.1265,2,OZ,,,,,,09/01/2017,,14,,,,,,,"","","PR5498",,,10,0,1403,269,1,C,,
4102789,36395,90486,.44,.0001408,.032,.5,OZ,,,,,,05/01/2017,,14,,,,,,,"","","39431",,,10,0,1403,26,11,C,,
4102914,36395,510,.3,.0003843,.1281,2,OZ,,,,,,10/01/2017,,14,,,,,,,"","","39431",,,10,0,1403,151,1,C,,
4102598,33477,,,,2235.3263,300.5,GA,,,,,13,11/01/2017,,14,,,,,,,"","","139501",,,100,0,1403,508,1,C,,
768203,42319,2223,.1,.0003605,.3605,7,OZ,,,,,,01/01/2017,,14,,,,,,,"","","39431",,,10,0,1402,279,5,C,,
4102619,46701,90486,5,6.952635,139.0527,2455.7,OZ,,,,,,06/01/2017,,14,,,,,,,"","141714311VC","",,,50,0,1403,529,1,C,,X
4102953,37070,510,.5,.019328,3.8656,72,OZ,,,,,,10/01/2017,,14,,,,,,,"","","PR6688",,,10,0,1403,190,3,C,,
1346507,37072,4038,.129,.000738783,.5727,11,OZ,,,,,,04/01/2017,,14,,,,,,,"","","39431",,,10,0,1402,14,12,C,,
4102875,37072,4038,.129,.001679064,1.3016,25,OZ,,,,,,07/01/2017,,14,,,,,,,"","","39431",,,10,0,1403,96,11,C,,
4102532,37072,4038,.129,.001208859,.9371,18,OZ,,,,,,09/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,256,8,C,,
4102912,37072,4038,.129,.000402996,.3124,6,OZ,,,,,,10/01/2017,,14,,,,,,,"","","39431",,,10,0,1403,149,6,C,,
4102857,55949,2345,11.3,.3940875,3.4875,50,OZ,,,,,,08/01/2017,,14,,,,,,,"","14171400056","",,,30,0,1403,115,1,C,,
4102616,63482,5841,2.8,69.3,2475,2475,LB,,,,,,06/01/2017,,14,,,,,,,"","141714311VC","",,,50,0,1403,526,6,C,,
768154,63536,3010,4.75,.01455875,.3065,4.5,OZ,,,,,18,04/01/2017,,14,,,,,,,"","","PR7268",,,10,0,1402,577,11,C,,
768226,63536,3010,4.75,.8573465,18.0494,265,OZ,,,,,,03/01/2017,,14,,,,,,,"","","39431",,,10,0,1402,302,7,C,,X
1224713,64918,5331,.6,.0012234,.2039,3,OZ,,,,,,04/01/2017,,14,,,,,,,"","","PR6688",,,10,0,1401,57,6,C,,
4102859,64918,5331,.6,.0016308,.2718,4,OZ,,,,,,07/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,80,2,C,,
4102495,64918,5331,.6,.0008154,.1359,2,OZ,,,,,,11/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,203,2,C,,
4102902,64918,5331,.6,.0008154,.1359,2,OZ,,,,,,08/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,139,2,C,,
768163,64919,5331,.05,.00002205,.0441,20,GR,,,,,2,04/01/2017,,14,,,,,,,"","","PR848",,,10,0,1402,585,1,C,,
4102837,64919,5331,.05,.0002343,.4686,6,OZ,,,,,,07/01/2017,,14,,,,,,,"","","37264",,,10,0,1403,79,1,C,,
1224737,68922,,,,51.5894,6,GA,,,,,7,05/01/2017,,14,,,,,,,"","","139501",,,100,0,1401,81,2,C,,
4102721,68922,,,,128.9734,15,GA,,,,,7,08/01/2017,,14,,,,,,,"","","139501",,,100,0,1403,424,4,C,,
768176,68520,5331,20,.01038,.0519,.83,OZ,,,,,17,01/01/2017,,14,,,,,,,"","","PR848",,,10,0,1402,533,2,C,,
768260,51252,1929,38.7,198.8626203,513.8569,210,QT,105,A,105,A,1,03/06/2017,0800,14,M,09,S,34,E,28,"BP6","14171400013","",,G,23001,0,1401,46,27,B,14M09S34E28,
4102937,53007,,,,7.4978,128,OZ,,,,,,06/01/2017,,14,,,,,,,"","","00000CALTRANS",,,40,0,1403,174,5,C,,
1224725,52145,486,2,.006356,.3178,6,OZ,,,,,1,05/01/2017,,14,,,,,,,"","","PR848",,,10,0,1401,74,7,C,,
4102703,52145,486,2,.018012,.9006,17,OZ,,,,,2,07/01/2017,,14,,,,,,,"","","PR848",,,10,0,1403,406,9,C,,
