use_no, field_name, old_value, new_value, error_id
1347102, ACRE_PLANTED, 42, 48, 111093
1347103, ACRE_PLANTED, 42, 48, 111094
1347104, ACRE_PLANTED, 42, 48, 111095
1347105, ACRE_PLANTED, 4.5, 5, 111096
1347107, LBS_PRD_USED, 48.7973, 48.7973, 111097
1347107, AMT_PRD_USED, 250, 6.7334, 111097
1368274, LBS_PRD_USED, 1.0847, 1.0847, 114222
1368274, AMT_PRD_USED, 64, 17.3547, 114222
1366304, LBS_PRD_USED, 328.7541, 328.7541, 113963
1366304, AMT_PRD_USED, 3913, 32.8831, 113963
1368346, LBS_PRD_USED, 3.7485, 3.7485, 114225
1368346, AMT_PRD_USED, 60, 36, 114225
1368369, ACRE_PLANTED, 25, 80, 114233
1368370, ACRE_PLANTED, 25, 80, 114234
1368371, ACRE_PLANTED, 25, 80, 114235
1368372, ACRE_PLANTED, 25, 80, 114236
1368373, ACRE_PLANTED, 25, 40, 114237
1368374, ACRE_PLANTED, 25, 40, 114238
1368375, ACRE_PLANTED, 25, 40, 114239
1368376, ACRE_PLANTED, 25, 40, 114240
1368348, ACRE_TREATED, .5, 1.25, 114226
1367148, ACRE_TREATED, .25, .5, 114138
1368410, ACRE_TREATED, .3, 1.91, 114244
1387260, ACRE_PLANTED, 19, 20, 119942
1387261, ACRE_PLANTED, 19, 20, 119943
1368467, ACRE_TREATED, .1, 1.64, 114253
1347961, ACRE_PLANTED, 42, 48, 111239
1347986, ACRE_PLANTED, 129, 138, 111240
1348038, LBS_PRD_USED, 99.3719, 99.3719, 111241
1348038, AMT_PRD_USED, 3500, 14, 111241
1348052, ACRE_PLANTED, 42, 48, 111242
1348058, ACRE_PLANTED, 129, 138, 111243
1348059, ACRE_PLANTED, 129, 138, 111244
1348261, LBS_PRD_USED, 99.3719, 99.3719, 111245
1348261, AMT_PRD_USED, 3500, 14, 111245
1348262, LBS_PRD_USED, 85.1759, 85.1759, 111246
1348262, AMT_PRD_USED, 3000, 12, 111246
1348263, LBS_PRD_USED, 70.9799, 70.9799, 111247
1348263, AMT_PRD_USED, 2500, 10, 111247
1348286, ACRE_PLANTED, 129, 235, 111249
1348287, ACRE_PLANTED, 129, 235, 111250
1348512, ACRE_PLANTED, 129, 235, 111255
1348515, ACRE_PLANTED, 129, 138, 111256
1348679, ACRE_PLANTED, 129, 235, 111257
1380627, LBS_PRD_USED, 7.5439, 7.5439, 117444
1380627, AMT_PRD_USED, 179.33, 7.5439, 117444
1379929, LBS_PRD_USED, 2.4471, 2.4471, 117071
1379929, AMT_PRD_USED, 3705, 39.153, 117071
1380026, LBS_PRD_USED, .2134, .2134, 117090
1380026, AMT_PRD_USED, 11.2, 2.8581, 117090
1380037, LBS_PRD_USED, .7591, .7591, 117091
1380037, AMT_PRD_USED, 5, .0893, 117091
1380040, LBS_PRD_USED, .7591, .7591, 117092
1380040, AMT_PRD_USED, 5, .0893, 117092
1380043, LBS_PRD_USED, .7591, .7591, 117094
1380043, AMT_PRD_USED, 5, .0893, 117094
1380049, LBS_PRD_USED, .7591, .7591, 117096
1380049, AMT_PRD_USED, 5, .0893, 117096
1380087, LBS_PRD_USED, .1146, .1146, 117097
1380087, AMT_PRD_USED, 87.5, 1.694, 117097
1379949, LBS_PRD_USED, .0504, .0504, 117072
1379949, AMT_PRD_USED, 18, .8904, 117072
1379951, LBS_PRD_USED, .0134, .0134, 117073
1379951, AMT_PRD_USED, 23, .2195, 117073
1379966, LBS_PRD_USED, .0022, .0022, 117076
1379966, AMT_PRD_USED, 5, .0366, 117076
1379970, LBS_PRD_USED, .0448, .0448, 117078
1379970, AMT_PRD_USED, 22, .7914, 117078
1379974, LBS_PRD_USED, .0078, .0078, 117080
1379974, AMT_PRD_USED, 15, .128, 117080
1379884, LBS_PRD_USED, .0068, .0068, 117069
1379884, AMT_PRD_USED, 9, .1093, 117069
1380000, LBS_PRD_USED, .7591, .7591, 117083
1380000, AMT_PRD_USED, 5, .0893, 117083
1380003, LBS_PRD_USED, .0067, .0067, 117085
1380003, AMT_PRD_USED, 10, .1097, 117085
1380015, LBS_PRD_USED, .2308, .2308, 117088
1380015, AMT_PRD_USED, 86, 3.3058, 117088
1380230, LBS_PRD_USED, .0017, .0017, 117114
1380230, AMT_PRD_USED, 134, .0278, 117114
1380244, ACRE_TREATED, .15, .15, 117115
1380251, LBS_PRD_USED, .7591, .7591, 117118
1380251, AMT_PRD_USED, 5, .0893, 117118
1380203, LBS_PRD_USED, .7591, .7591, 117109
1380203, AMT_PRD_USED, 5, .0893, 117109
1380208, LBS_PRD_USED, .7591, .7591, 117111
1380208, AMT_PRD_USED, 5, .0893, 117111
1380128, AMT_PRD_USED, 5, .0893, 117102
1380164, LBS_PRD_USED, .0643, .0643, 117103
1380164, AMT_PRD_USED, 3.44, 1.0285, 117103
1380186, LBS_PRD_USED, 1.3426, 1.3426, 117104
1380186, AMT_PRD_USED, 16, 1.7633, 117104
1380189, LBS_PRD_USED, .0025, .0025, 117105
1380189, AMT_PRD_USED, 5, .0005, 117105
1380106, LBS_PRD_USED, .001, .001, 117098
1380106, AMT_PRD_USED, .105, .016, 117098
1380128, LBS_PRD_USED, .7591, .7591, 117102
1379797, LBS_PRD_USED, .0224, .0224, 117062
1379797, AMT_PRD_USED, 4, .0031, 117062
1379800, LBS_PRD_USED, 63.6165, 63.6165, 117064
1379800, AMT_PRD_USED, 164, 7.3138, 117064
1379495, LBS_PRD_USED, .0091, .0091, 117038
1379495, AMT_PRD_USED, 12, .1457, 117038
1379710, LBS_PRD_USED, .7591, .7591, 117052
1379690, LBS_PRD_USED, .0339, .0339, 117049
1379690, AMT_PRD_USED, 32, .3683, 117049
1379693, LBS_PRD_USED, .5431, .5431, 117050
1379693, AMT_PRD_USED, 512, 5.8931, 117050
1379708, LBS_PRD_USED, .7591, .7591, 117051
1379708, AMT_PRD_USED, 5, .0893, 117051
1379421, LBS_PRD_USED, .0182, .0182, 117032
1379421, AMT_PRD_USED, 24, .2915, 117032
1379432, LBS_PRD_USED, .0091, .0091, 117033
1379531, LBS_PRD_USED, 5.3705, 5.3705, 117040
1379531, AMT_PRD_USED, 64, 7.0533, 117040
1379599, LBS_PRD_USED, .0046, .0046, 117046
1379599, AMT_PRD_USED, 6, .0729, 117046
1379617, LBS_PRD_USED, .0081, .0081, 117047
1379617, AMT_PRD_USED, 6.8, .1157, 117047
1379432, AMT_PRD_USED, 12, .1457, 117033
1379584, LBS_PRD_USED, .5335, .5335, 117044
1379584, AMT_PRD_USED, 28, 7.3449, 117044
1379586, LBS_PRD_USED, .2668, .2668, 117045
1379586, AMT_PRD_USED, 14, 3.6723, 117045
1380358, LBS_PRD_USED, 5.3705, 5.3705, 117129
1380358, AMT_PRD_USED, 64, 7.0533, 117129
1379282, ACRE_TREATED, .4, 2.25, 117024
