use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
4106312,28853,2135,.005,.000175,3.5,56,OZ,,,,,7,12/01/2017,,18,,,,,,,"","","31221",,,10,0,1803,651,2,C,,
4106530,28853,2135,.005,.000046875,.9375,15,OZ,,,,,5,06/01/2017,,18,,,,,,,"","","PR 1865",,,10,0,1803,137,1,C,,
4106459,28853,2135,.005,.000003125,.0625,1,OZ,,,,,1,05/01/2017,,18,,,,,,,"","","PR 1865",,,10,0,1803,77,1,C,,
4106734,28853,2135,.005,.000003125,.0625,1,OZ,,,,,1,08/01/2017,,18,,,,,,,"","","12527",,,10,0,1803,352,2,C,,
768442,28853,2135,.005,.000003125,.0625,1,OZ,,,,,1,04/01/2017,,18,,,,,,,"","","12527",,,10,0,1803,657,2,C,,
4105792,46449,1855,41,21.636889,52.7729,5.4,GA,478,A,20.4,A,1,04/19/2017,0730,18,M,38,N,07,E,31,"380731","1817180185A","",,G,30000,0,1802,118,6,B,18M38N07E31,
4105801,46449,1855,41,13.222541,32.2501,3.3,GA,526,A,14.67,A,1,04/19/2017,1230,18,M,38,N,06,E,24,"380624","1817180185A","",,G,30000,0,1802,127,3,B,18M38N06E24,
4106806,46602,1622,86.6,29.3580928,33.9008,461.24,OZ,,,,,10,08/01/2017,,18,,,,,,,"","181618073A","",,,100,0,1803,424,2,C,,
4105668,47030,1800,98,.49,.5,.5,LB,640,A,20,A,1,10/03/2017,0900,18,M,33,N,09,E,28,"33928","1816180120A","",,G,30000,0,1802,532,8,B,18M33N09E28,
4106177,47030,1800,98,.49,.5,.5,LB,640,A,14,A,1,09/03/2017,1030,18,M,33,N,06,E,25,"33625","1816180120A","",,G,30000,0,1802,503,11,B,18M33N06E25,
4106181,47030,1800,98,1.96,2,2,LB,640,A,43,A,1,09/01/2017,1000,18,M,33,N,07,E,29,"33729","1816180120A","",,G,30000,0,1802,507,3,B,18M33N07E29,
4106202,47030,1800,98,6.615,6.75,6.75,LB,640,A,252,A,1,10/01/2017,0900,18,M,33,N,07,E,28,"33728","1816180120A","",,G,30000,0,1802,528,1,B,18M33N07E28,
4106848,45189,510,1,.000188,.0188,.3,OZ,,,,,1,09/01/2017,,18,,,,,,,"","","01402",,,10,0,1803,485,2,C,,
768402,46133,1855,50.2,5.011717,9.9835,128,OZ,,,,,2,04/01/2017,,18,,,,,,,"","","180571",,,40,0,1803,617,1,C,,
4106404,46154,,,,104.3699,13,GA,,,,,49,05/01/2017,,18,,,,,,,"","181618073A","",,,100,0,1803,22,3,C,,
4106504,46154,,,,6.0213,96,OZ,,,,,2,06/01/2017,,18,,,,,,,"","","180571",,,40,0,1803,122,5,C,,
768423,13583,769,99,.061875,.0625,1,OZ,,,,,,04/01/2017,,18,,,,,,,"","","6296",,,10,0,1803,638,5,C,,
4105933,29995,216,43.5,7.97181,18.326,2,GA,19,A,19,A,1,06/01/2017,1400,18,M,28,N,14,E,07,"2a","181718009A","",,G,23001,4,1802,259,1,B,18M28N14E07,
1349965,42994,806,46.8,46.3415472,99.0204,10.16,GA,65,A,65,A,1,05/26/2017,0800,18,M,30,N,12,E,33,"07","181718017A","",,G,22007,0,1803,181,2,A,18M30N12E33,
768557,42994,806,46.8,4.2419052,9.0639,.93,GA,5,A,5,A,1,03/29/2017,1300,18,M,29,N,14,E,28,"01A","1817180228A","",,G,24011,0,1801,254,2,A,18M29N14E28,
4105845,42994,806,46.8,8.5521852,18.2739,15,PT,15,A,15,A,1,05/09/2017,0900,18,M,29,N,14,E,17,"02","1817180098","",,G,29103,0,1802,172,3,B,18M29N14E17,
1349891,47648,,,,4.5915,.53,GA,39.42,A,39.42,A,1,05/11/2017,1500,18,M,36,N,13,E,31,"6715","1817250221A","",,A,23001,0,1803,136,2,A,18M36N13E31,
1349839,47648,,,,8.1434,.94,GA,70.09,A,70.09,A,1,05/11/2017,1200,18,M,36,N,12,E,24,"4505","1817250221A","",,A,23001,0,1803,55,2,A,18M36N12E24,
1349856,47648,,,,2.0792,.24,GA,18.09,A,18.09,A,1,05/11/2017,1200,18,M,36,N,12,E,15,"3312A","1817250221A","",,A,23001,0,1803,73,2,A,18M36N12E15,
1349868,47648,,,,16.8932,1.95,GA,145.31,A,145.31,A,1,05/11/2017,1200,18,M,36,N,12,E,25,"5601","1817250221A","",,A,23001,0,1803,85,2,A,18M36N12E25,
1350028,47648,,,,.7797,.09,GA,89.93,A,89.93,A,1,06/05/2017,1800,18,M,36,N,12,E,25,"5501","1817250221A","",,A,23001,0,1803,244,3,A,18M36N12E25,
1349984,47648,,,,.8663,.1,GA,107.83,A,107.83,A,1,06/05/2017,1800,18,M,36,N,12,E,13,"3501","1817250221A","",,A,23001,0,1803,200,3,A,18M36N12E13,
1349678,47648,,,,1.2128,.14,GA,148.36,A,148.36,A,1,06/05/2017,1800,18,M,36,N,12,E,25,"5509","1817250221A","",,A,23001,0,1803,252,3,A,18M36N12E25,
1349690,47648,,,,1.2128,.14,GA,148.37,A,148.37,A,1,06/05/2017,1800,18,M,36,N,12,E,26,"6405","1817250221A","",,A,23001,0,1803,264,3,A,18M36N12E26,
1349735,47648,,,,.2599,.03,GA,34.35,A,34.35,A,1,06/05/2017,1800,18,M,36,N,13,E,18,"3701","1817250221A","",,A,23001,0,1803,312,3,A,18M36N13E18,
4106858,7231,231,40,.63556,1.5889,20.8,OZ,,,,,3,09/01/2017,,18,,,,,,,"","181618073A","",,,40,0,1803,495,7,C,,
4106211,33671,4014,.0025,.000029533,1.1813,18.9,OZ,,,,,5,10/01/2017,,18,,,,,,,"","","133138",,,10,0,1803,512,3,C,,
4106429,33671,4014,.0025,.000006563,.2625,4.2,OZ,,,,,2,05/01/2017,,18,,,,,,,"","","133138",,,10,0,1803,48,4,C,,
4106281,32919,2244,9,.007416,.0824,1.49,OZ,,,,,1,11/01/2017,,18,,,,,,,"","","PR7122",,,10,0,1803,593,8,C,,
4105649,33442,1871,75,44.625,59.5,59.5,LB,200,A,17,A,1,10/29/2017,1000,18,M,37,N,07,E,30,"370730","1817180185A","",,A,30000,0,1801,4,1,A,18M37N07E30,
4105656,33442,1871,75,283.5,378,378,LB,642,A,108,A,1,10/31/2017,1010,18,M,34,N,07,E,23,"340723","1817180185A","",,A,30000,0,1801,11,1,A,18M34N07E23,
4105658,33442,1871,75,191.625,255.5,255.5,LB,365,A,73,A,1,10/31/2017,1315,18,M,34,N,07,E,25,"340725","1817180185A","",,A,30000,0,1801,13,1,A,18M34N07E25,
768455,34448,3010,4.75,.00325375,.0685,1,OZ,,,,,,04/01/2017,,18,,,,,,,"","","1652",,,10,0,1803,670,1,C,,
4106521,31778,769,5,.275,5.5,5.5,LB,,,,,3,06/01/2017,,18,,,,,,,"","","02802-00015",,,10,0,1803,168,3,C,,
4106398,28895,486,.8,.0005152,.0644,1,OZ,,,,,,05/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,16,2,C,,
4106216,28895,486,.8,.0005152,.0644,1,OZ,,,,,,10/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,517,2,C,,
4106814,28895,90486,.2,.0001288,.0644,1,OZ,,,,,,09/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,432,2,C,,
4106712,28895,486,.8,.0005152,.0644,1,OZ,,,,,,08/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,330,2,C,,
4106712,28895,396,1,.000644,.0644,1,OZ,,,,,,08/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,330,2,C,,
768420,28895,90486,.2,.0003866,.1933,3,OZ,,,,,,04/01/2017,,18,,,,,,,"","","6296",,,10,0,1803,635,2,C,,
4105894,23429,,,,2.1866,1,QT,36,A,36,A,1,05/13/2017,0900,18,M,26,N,16,E,16,"2A","181718013A","",,G,22000,0,1802,220,2,B,18M26N16E16,
4105900,23429,,,,6.5599,3,QT,29,A,29,A,1,05/13/2017,0800,18,M,26,N,16,E,17,"1C","181718013A","",,O,23001,0,1802,226,4,B,18M26N16E17,
4106158,10811,,,,11.8453,1.5,GA,120,A,120,A,1,09/13/2017,1430,18,M,37,N,06,E,30,"SULL 1-4","1817180545","",,A,22000,0,1802,484,29,B,18M37N06E30,
768512,10811,,,,3.9484,.5,GA,40,A,40,A,1,03/03/2017,0955,18,M,37,N,06,E,21,"P7","1817180621","",,A,23001,0,1802,311,2,B,18M37N06E21,
4106856,44075,1855,41,1.314132,3.2052,43.2,OZ,,,,,3,09/01/2017,,18,,,,,,,"","181618073A","",,,40,0,1803,493,5,C,,
4106692,44075,1855,41,1.946885,4.7485,64,OZ,,,,,2,07/01/2017,,18,,,,,,,"","181618073A","",,,40,0,1803,310,5,C,,
4106493,44075,1855,41,.584086,1.4246,19.2,OZ,,,,,3,05/01/2017,,18,,,,,,,"","181618073A","",,,40,0,1803,112,5,C,,
4106301,43719,,,,.1633,2.69,OZ,,,,,35,11/01/2017,,18,,,,,,,"","","36859",,,40,0,1803,640,1,C,,
4106054,25016,90104,.75,.975,130,130,LB,28,A,21.8,A,1,07/27/2017,0600,18,M,38,N,06,E,31,"17","18174500026","",,G,1016,0,1802,380,9,B,18M38N06E31,
4106215,32658,1625,.005,.00000625,.125,2,OZ,,,,,,10/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,516,1,C,,
4106007,32577,,,,3.7385,.34,GA,55,A,55,A,1,07/14/2017,0950,18,M,37,N,06,E,30,"Pivot","1817180621","",,A,22000,0,1802,333,27,B,18M37N06E30,
4106024,32577,,,,.6597,.06,GA,10,A,10,A,1,07/20/2017,0832,18,M,37,N,06,E,19,"M3","181718061a","",,A,22000,0,1802,350,14,B,18M37N06E19,
4105991,32577,,,,.7697,.07,GA,11,A,11,A,1,07/14/2017,0950,18,M,37,N,06,E,21,"P4A","1817180621","",,A,22000,0,1802,317,11,B,18M37N06E21,
4106056,32577,,,,12.0952,1.1,GA,120,A,85,A,1,07/15/2017,0800,18,M,37,N,06,E,29,"07","1817180545","",,G,22000,0,1802,382,1,B,18M37N06E29,
4105723,32577,,,,9.896,.9,GA,120,A,70,A,1,04/19/2017,0800,18,M,37,N,06,E,29,"6","1817180545","",,G,22000,0,1802,69,1,B,18M37N06E29,
4105757,32577,,,,17.483,1.59,GA,140,A,140,A,1,04/29/2017,0800,18,M,37,N,08,E,07,"H-2","1817180865","",,G,22028,0,1802,84,1,B,18M37N08E07,
4105761,32577,,,,8.5766,.78,GA,70,A,70,A,1,04/29/2017,0800,18,M,37,N,08,E,07,"H-3B","1817180865","",,G,22028,0,1802,88,1,B,18M37N08E07,
768484,32577,,,,5.4978,.5,GA,50,A,40,A,1,03/02/2017,1510,18,M,37,N,06,E,29,"BUCKMAN1","1817180545","",,A,14007,0,1802,273,4,B,18M37N06E29,
4106775,44880,1800,98,.06125,.0625,1,OZ,,,,,1,08/01/2017,,18,,,,,,,"","","11804",,,10,0,1803,406,7,C,,
768502,61287,1973,22.3,.9720793,4.3591,4,PT,10,A,1.5,A,1,04/12/2017,0900,18,M,30,N,12,E,32,"1","1817180287A","",,G,100,0,1802,301,6,B,18M30N12E32,
4106595,63515,2131,16.22,3.10144242,19.1211,18,PT,,,,,,06/01/2017,,18,,,,,,,"","","32326",,,40,0,1803,213,1,C,,
768436,63536,3010,4.75,.20918525,4.4039,64.6572,OZ,,,,,103,04/01/2017,,18,,,,,,,"","","02802-00015",,,10,0,1803,651,7,C,,
1225483,64918,5331,.6,.0002118,.0353,16,GR,,,,,2,04/01/2017,,18,,,,,,,"","","11804",,,10,0,1802,58,2,C,,
4106780,64918,5331,.6,.0002118,.0353,16,GR,,,,,2,08/01/2017,,18,,,,,,,"","","11804",,,10,0,1803,411,1,C,,
768310,64918,5331,.6,.0000066,.0011,.5,GR,,,,,1,02/01/2017,,18,,,,,,,"","","02802-00015",,,10,0,1803,486,2,C,,
4106336,68754,3946,11.33,.06416179,.5663,8.192,OZ,,,,,2,10/01/2017,,18,,,,,,,"","","39420",,,40,0,1803,560,3,C,,
768477,52930,,,,43.4876,6,GA,120,A,120,A,1,03/02/2017,1510,18,M,37,N,06,E,30,"SULL 1-4","1817180545","",,A,14007,0,1802,266,1,B,18M37N06E30,
768607,52935,1855,41,68.081279,166.0519,17,GA,68,A,68,A,1,05/01/2017,1830,18,M,29,N,13,E,08,"T10","181718023A","",,G,23001,0,1801,303,3,A,18M29N13E08,X
768595,52935,1855,41,18.021509,43.9549,4.5,GA,18,A,18,A,1,05/11/2017,0930,18,M,29,N,12,E,09,"M04","181718023A","",,G,23001,0,1801,291,3,A,18M29N12E09,
768475,51252,1929,38.7,19.8862659,51.3857,5.25,GA,35,A,35,A,1,03/02/2017,1510,18,M,37,N,06,E,29,"D5","1817180545","",,A,14007,0,1802,264,3,B,18M37N06E29,
4105748,51252,1929,38.7,26.5150341,68.5143,7,GA,15,A,15,A,1,04/23/2017,1300,18,M,28,N,14,E,07,"2b","181718009A","",,G,23001,4,1802,56,6,B,18M28N14E07,
4105715,52973,5130,21.3,.2342574,1.0998,16,OZ,39,A,16,A,1,04/21/2017,1430,18,M,28,N,14,E,07,"1","181718009A","",,G,29139,0,1802,61,5,B,18M28N14E07,
768570,48285,2341,22.87,7.93986938,34.7174,3.75,GA,80,A,80,A,1,04/17/2017,0830,18,M,28,N,14,E,18,"01","1817180832","",,G,23001,0,1801,267,2,A,18M28N14E18,
4106048,49957,5790,25.2,7.89075,31.3125,501,OZ,28,A,21.8,A,1,07/01/2017,0700,18,M,38,N,06,E,31,"17","18174500026","",,G,1016,0,1802,374,3,B,18M38N06E31,
4105828,65045,,,,87.7589,8.4,GA,42,A,28,A,1,05/01/2017,1830,18,M,29,N,13,E,07,"T03","181718023A","",,G,23001,0,1802,158,4,B,18M29N13E07,
4105736,65045,,,,2.6119,1,QT,29,A,29,A,1,03/18/2017,0900,18,M,26,N,16,E,17,"1D","181718013A","",,G,22000,0,1802,44,3,B,18M26N16E17,
4105678,65060,1855,41,36.006159,87.8199,9,GA,18,A,18,A,1,03/23/2017,1300,18,M,29,N,14,E,26,"C01","1817200584","",,G,23001,0,1802,20,1,B,18M29N14E26,
4106126,65060,1855,41,50.00852,121.972,12.5,GA,5,A,5,A,1,08/06/2017,0800,18,M,29,N,14,E,29,"HOME","1817180608","",,G,40,0,1802,452,1,B,18M29N14E29,
4105780,65060,1855,41,44.007514,107.3354,11,GA,45,A,44,A,1,04/21/2017,0800,18,M,26,N,16,E,16,"3C","181718013A","",,G,22000,0,1802,107,1,B,18M26N16E16,
768500,65060,1855,41,2.500426,6.0986,80,OZ,10,A,2.5,A,1,04/11/2017,1200,18,M,30,N,12,E,32,"1","1817180287A","",,G,100,0,1802,299,4,B,18M30N12E32,
4106878,64175,3985,1.6,.0029584,.1849,2.805,OZ,,,,,36,09/01/2017,,18,,,,,,,"","","02802-00015",,,10,0,1803,475,5,C,,
4106878,64175,486,8,.014792,.1849,2.805,OZ,,,,,36,09/01/2017,,18,,,,,,,"","","02802-00015",,,10,0,1803,475,5,C,,
4106765,58635,5820,48.7,.6464925,1.3275,15,OZ,,,,,3,08/01/2017,,18,,,,,,,"","1817180732","",,,30,0,1803,396,1,C,,
4106447,58635,5820,48.7,6.206328,12.744,4.5,QT,,,,,1,05/01/2017,,18,,,,,,,"","","41045",,,30,0,1803,66,1,C,,
4106399,58039,2321,.2,.0005202,.2601,5,OZ,,,,,,05/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,17,3,C,,
4106815,58039,4019,.1,.000104,.104,2,OZ,,,,,,09/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,433,4,C,,
4106815,58039,396,2.87,.0029848,.104,2,OZ,,,,,,09/01/2017,,18,,,,,,,"","","9135",,,10,0,1803,433,4,C,,
768417,58039,4019,.1,.0002081,.2081,4,OZ,,,,,,04/01/2017,,18,,,,,,,"","","6296",,,10,0,1803,632,3,C,,
768349,60600,5331,20,.0125,.0625,1,OZ,,,,,6,01/01/2017,,18,,,,,,,"","","11804",,,10,0,1803,542,3,C,,
4106450,53075,229,.73,.00923742,1.2654,18,OZ,,,,,1,05/01/2017,,18,,,,,,,"","","41045",,,30,0,1803,69,4,C,,
4106682,68675,,,,47.2902,5.5,GA,,,,,,07/01/2017,,18,,,,,,,"","181618073A","",,,40,0,1803,300,1,C,,
4105692,69233,1692,75,15,20,20,LB,33,A,30,A,1,03/23/2017,1300,18,M,29,N,14,E,20,"E2","1817180157A","",,G,23001,0,1802,34,2,B,18M29N14E20,
4105597,67593,2297,22.8,.4171488,1.8296,.2,GA,20,A,20,A,1,09/15/2017,1100,18,M,26,N,16,E,16,"WWL","1817180799","",,G,23001,0,1801,130,2,A,18M26N16E16,
